"id","property_name","logcat_tags","regex","wrapper_class_name","value_mapping"
"#ID","#属性名称","#Logcat标签","#正则表达式","#包装器类名","#值映射(原始值=映射值;原始值=映射值)"
"1","door_status_front_left","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEDOOR_BCM_DRIVERDOORSTATUS value = ([\s\S]*)","SimplePropertyLogWrapper",""
"2","door_status_front_right","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEDOOR_FRONTRIGHT value = ([\s\S]*)","SimplePropertyLogWrapper",""
"3","door_status_rear_left","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEDOOR_REARLEFT value = ([\s\S]*)","SimplePropertyLogWrapper",""
"4","door_status_rear_right","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEDOOR_REARRIGHT value = ([\s\S]*)","SimplePropertyLogWrapper",""
"5","door_status_backdoor","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEDOOR_BCM_TRUNKDOORSTATUS value = ([\s\S]*)","SimplePropertyLogWrapper",""
"6","door_degree_backdoor","CarSettingsActionService","id = Signal#VEHICLEDOOR_DOOR_PTS_GATEPOSITION v = ([\s\S]*)","SimplePropertyLogWrapper",""
"7","window_degree_front_left","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEWINDOW_WINDOW_FRONTLEFT value = ([\s\S]*)","SimplePropertyLogWrapper",""
"8","window_degree_front_right","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEWINDOW_WINDOW_FRONTRIGHT value = ([\s\S]*)","SimplePropertyLogWrapper",""
"9","window_degree_back_left","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEWINDOW_WINDOW_REARLEFT value = ([\s\S]*)","SimplePropertyLogWrapper",""
"10","window_degree_back_right","CanSignalHandler","receive signal from carservice ,name = Signal#VEHICLEWINDOW_WINDOW_REARRIGHT value = ([\s\S]*)","SimplePropertyLogWrapper",""
"11","gear_position","CanSignalHandler","receive signal from carservice ,name = Signal#RMU_PCU_GEARPOSITION value = ([\s\S]*)","SimplePropertyLogWrapper","31=0;62=3;16=2;61=1"
"12","VCU_2A1_VCUACCRPEDLPOSN","CanSignalHandler","receive signal from carservice ,name = Signal#RMU_PCU_ACCPEDL value = ([\s\S]*)","SimplePropertyLogWrapper",""
"14","brake_pedal_status","CanSignalHandler","receive signal from carservice ,name = Signal#DRIVINGINFO_EMS_BRAKEPEDALSTATUS value = ([\s\S]*)","SimplePropertyLogWrapper","0=0;101=1"
"15","car_speed","CanSignalHandler","receive signal from carservice ,name = Signal#DRIVINGINFO_SPEED value = ([\s\S]*)","SimplePropertyLogWrapper",""
"16","light_status_turn_left","CanSignalHandler","receive signal from carservice ,name = Signal#LIGHT_BCM_TURNINDICATORLEFT value = ([\s\S]*)","BlinkingPropertyLogWrapper",""
"17","light_status_turn_right","CanSignalHandler","receive signal from carservice ,name = Signal#LIGHT_BCM_TURNINDICATORRIGHT value = ([\s\S]*)","BlinkingPropertyLogWrapper",""
"18","tire_pressure_front_left","","","SimplePropertyLogWrapper",""
"19","tire_pressure_front_right","","","SimplePropertyLogWrapper",""
"20","tire_pressure_back_left","","","SimplePropertyLogWrapper",""
"21","tire_pressure_back_right","","","SimplePropertyLogWrapper",""
"22","sunshade_degree","","","SimplePropertyLogWrapper",""
"23","sunshade_status","","","SimplePropertyLogWrapper",""
"24","power_status","","","SimplePropertyLogWrapper",""
"25","seatbelt_status_front_left","CanSignalHandler","","SimplePropertyLogWrapper",""
"#26","seatbelt_status_front_right","CanSignalHandler","","SimplePropertyLogWrapper",""
"27","seat_occupied_front_left","FeatureSignalPresenter","signalChange--Signal#VEHICLESEAT_SEATOCCUPIED_FRONTLEFT-([\s\S]*)","SimplePropertyLogWrapper",""
"28","seat_occupied_front_right","FeatureSignalPresenter","signalChange--Signal#VEHICLESEAT_SEATOCCUPIED_FRONTRIGHT-([\s\S]*)","SimplePropertyLogWrapper",""
