"id","property_name","logcat_tags","regex","wrapper_class_name","value_mapping"
"#ID","#属性名称","#Logcat标签","#正则表达式","#包装器类名","#值映射(原始值=映射值;原始值=映射值)"
"1","door_status_front_left","Ps-Ver@230625","PropId=0x16400b00.*AreaId=0x1.*Value=(\d+)","SimplePropertyLogWrapper","1=0;2=1"
"2","door_status_front_right","Ps-Ver@230625","PropId=0x16400b00.*AreaId=0x4.*Value=(\d+)","SimplePropertyLogWrapper","1=0;2=1"
"3","door_status_rear_left","Ps-Ver@230625","PropId=0x16400b00.*AreaId=0x10.*Value=(\d+)","SimplePropertyLogWrapper","1=0;2=1"
"4","door_status_rear_right","Ps-Ver@230625","PropId=0x16400b00.*AreaId=0x40.*Value=(\d+)","SimplePropertyLogWrapper","1=0;2=1"
"5","door_status_backdoor","","","SimplePropertyLogWrapper","1=0;2=1"
"6","door_degree_backdoor","","","SimplePropertyLogWrapper",""
"7","window_degree_front_left","Ps-Ver@230625","PropId=0x13400bc0.*AreaId=0x10.*Value=([\d.]+)","SimplePropertyLogWrapper",""
"8","window_degree_front_right","Ps-Ver@230625","PropId=0x13400bc0.*AreaId=0x40.*Value=([\d.]+)","SimplePropertyLogWrapper",""
"9","window_degree_back_left","Ps-Ver@230625","PropId=0x13400bc0.*AreaId=0x100.*Value=([\d.]+)","SimplePropertyLogWrapper",""
"10","window_degree_back_right","Ps-Ver@230625","PropId=0x13400bc0.*AreaId=0x400.*Value=([\d.]+)","SimplePropertyLogWrapper",""
"11","gear_position","Ps-Ver@230625","PropId=0x11400400.*AreaId=0x0.*Value=(\d+)","SimplePropertyLogWrapper","1=2;2=1;4=0;8=3"
"12","VCU_2A1_VCUACCRPEDLPOSN","Ps-Ver@230625","PropId=0x29403484.*AreaId=0x2.*Value=(\d+)","SimplePropertyLogWrapper",""
"13","brake_pedal_status","Ps-Ver@230625","PropId=0x11200402.*AreaId=0x0.*Value=(true|false|\d+)","SimplePropertyLogWrapper","true=1;false=0"
"14","car_speed","Ps-Ver@230625","PropId=0x11600207.*AreaId=0x0.*Value=([\d.-]+)","SimplePropertyLogWrapper",""
"15","light_status_turn_left","Ps-Ver@230625","PropId=0x21400a35.*AreaId=0x0.*Value=(\d+)","BlinkingPropertyLogWrapper","0=0;1=1"
"16","light_status_turn_right","Ps-Ver@230625","PropId=0x21400a37.*AreaId=0x0.*Value=(\d+)","BlinkingPropertyLogWrapper","0=0;1=1"
"17","tire_pressure_front_left","","","SimplePropertyLogWrapper",""
"18","tire_pressure_front_right","","","SimplePropertyLogWrapper",""
"19","tire_pressure_back_left","","","SimplePropertyLogWrapper",""
"20","tire_pressure_back_right","","","SimplePropertyLogWrapper",""
"21","sunshade_degree","","","SimplePropertyLogWrapper",""
"22","sunshade_status","","","SimplePropertyLogWrapper",""
"23","power_status","Ps-Ver@230625","PropId=0x11400409.*AreaId=0x0.*Value=(\d+)","SimplePropertyLogWrapper","2=0;3=0;4=1;5=1"
"24","lock_status","Ps-Ver@230625","PropId=0x16200b02.*AreaId=0x0.*Value=(\d+)","SimplePropertyLogWrapper","1=0;2=1"
"27","seatbelt_status_front_left","Ps-Ver@230625","PropId=0x29403429.*AreaId=0x0.*Value=(\d+)","SimplePropertyLogWrapper","0=1;1=0"
"29","seat_occupied_front_left","Ps-Ver@230625","PropId=0x21703454.*Value=\[0, 0, 0, 0, 0, [^,]*, [^,]*, (\d+), [^\]]*\]","SimplePropertyLogWrapper","0=0;1=1"
"30","seat_occupied_front_right","Ps-Ver@230625","PropId=0x21703454.*Value=\[0, 0, 0, 0, 0, [^,]*, [^,]*, [^,]*, (\d+), [^\]]*\]","SimplePropertyLogWrapper","0=0;1=1"
"999","test_prop","Ps-Ver@230625","PropId=0x11400409.*AreaId=0x0.*Value=(\d+)","SimplePropertyLogWrapper",""
