"id","property_name","logcat_tags","regex","wrapper_class_name","value_mapping"
"#ID","#属性名称","#Logcat标签","#正则表达式","#包装器类名","#值映射(原始值=映射值;原始值=映射值)"
"1","door_status_front_left","OneVehicleSDK","BCM_FUNC_DOOR.*propertyId=553779456.*areaId=1\s+val=(\d+)","SimplePropertyLogWrapper",""
"2","door_status_front_right","OneVehicleSDK","BCM_FUNC_DOOR.*propertyId=553779456.*areaId=4\s+val=(\d+)","SimplePropertyLogWrapper",""
"3","door_status_rear_left","OneVehicleSDK","BCM_FUNC_DOOR.*propertyId=553779456.*areaId=16\s+val=(\d+)","SimplePropertyLogWrapper",""
"4","door_status_rear_right","OneVehicleSDK","BCM_FUNC_DOOR.*propertyId=553779456.*areaId=64\s+val=(\d+)","SimplePropertyLogWrapper",""
"5","door_status_backdoor","OneVehicleSDK","BCM_FUNC_DOOR.*propertyId=553779456.*areaId=536870912\s+val=(\d+)","SimplePropertyLogWrapper",""
"6","door_degree_backdoor","","","SimplePropertyLogWrapper",""
"7","window_degree_front_left","AbsCarFunction*Bcm","onCustomizeFunctionValueChanged.*BCM_FUNC_WINDOW_POS.*zone:VehicleWindow.WINDOW_ROW_1_LEFT.*value:([\d.]+)","SimplePropertyLogWrapper",""
"8","window_degree_front_right","AbsCarFunction*Bcm","onCustomizeFunctionValueChanged.*BCM_FUNC_WINDOW_POS.*zone:VehicleWindow.WINDOW_ROW_1_RIGHT.*value:([\d.]+)","SimplePropertyLogWrapper",""
"9","window_degree_back_left","OneVehicleSDK","BCM_FUNC_WINDOW_POS.*areaId=64\s+val=([\d.]+)","SimplePropertyLogWrapper",""
"10","window_degree_back_right","AbsCarFunction*Bcm","onCustomizeFunctionValueChanged.*BCM_FUNC_WINDOW_POS.*zone:VehicleWindow.WINDOW_ROW_2_RIGHT.*value:([\d.]+)","SimplePropertyLogWrapper",""
"11","gear_position","OneVehicleSDK","SENSOR_TYPE_GEAR.*val=(\d+)","SimplePropertyLogWrapper","2097712=0;2097728=1;2097680=2;2097696=3"
"12","VCU_2A1_VCUACCRPEDLPOSN","OneVehicleSDK","SENSOR_TYPE_ACCELERATOR_DEPTH.*val=([\d.]+)","SimplePropertyLogWrapper",""
"13","brake_pedal_status","OneVehicleSDK","SENSOR_TYPE_BRAKE_DEPTH.*val=([\d.]+)","SimplePropertyLogWrapper",""
"14","car_speed","OneVehicleSDK","SENSOR_TYPE_CAR_SPEED.*val=([\d.]+)","SimplePropertyLogWrapper",""
"15","light_status_turn_left","OneVehicleSDK","BCM_FUNC_LIGHT_LEFT_TRUN_SIGNAL.*val=(\d+)","BlinkingPropertyLogWrapper",""
"16","light_status_turn_right","OneVehicleSDK","BCM_FUNC_LIGHT_RIGHT_TRUN_SIGNAL.*val=(\d+)","BlinkingPropertyLogWrapper",""
"17","tire_pressure_front_left","OneVehicleSDK","TIRE_PRESSURE_FRONT_LEFT.*val=([\d.]+)","SimplePropertyLogWrapper",""
"18","tire_pressure_front_right","OneVehicleSDK","TIRE_PRESSURE_FRONT_RIGHT.*val=([\d.]+)","SimplePropertyLogWrapper",""
"19","tire_pressure_back_left","OneVehicleSDK","TIRE_PRESSURE_REAR_LEFT.*val=([\d.]+)","SimplePropertyLogWrapper",""
"20","tire_pressure_back_right","OneVehicleSDK","TIRE_PRESSURE_REAR_RIGHT.*val=([\d.]+)","SimplePropertyLogWrapper",""
"21","sunshade_degree","OneVehicleSDK","BCM_FUNC_WINDOW_CURRENT_POS.*propertyId=553846272.*areaId=8\s+val=([\d.]+)","SimplePropertyLogWrapper",""
"22","sunshade_status","OneVehicleSDK","BCM_FUNC_WINDOW_CURRENT_POS.*propertyId=553846272.*areaId=8\s+val=(0\.0)","SimplePropertyLogWrapper","0.0=0"
"27","sunshade_status","OneVehicleSDK","BCM_FUNC_WINDOW_CURRENT_POS.*propertyId=553846272.*areaId=8\s+val=([1-9]\d*\.?\d*|0\.[1-9]\d*|100\.0)","SimplePropertyLogWrapper","*=1"
"23","power_status","OneVehicleSDK","SENSOR_TYPE_IGNITION_STATE.*val=(\d+)","SimplePropertyLogWrapper","2097411=0;2097415=1"
"24","seatbelt_status_front_left","OneVehicleSDK","SENSOR_TYPE_SAFE_BELT_DRIVER.*val=(\d+)","SimplePropertyLogWrapper","2101761=0;2101762=1"
"25","seat_occupied_front_right","EcarxMultidisplayImpl","mPassSeatSts:(副驾无人)","SimplePropertyLogWrapper","副驾无人=0"
"26","seat_occupied_front_right","BreathingScreenService","(have passenger)","SimplePropertyLogWrapper","have passenger=1"
"28","car_speed","VehicleHAL.AutolinkVehicleHal","INTERNAL_CARSPEED\(\d+\)\s*:\s*(\d+)","SimplePropertyLogWrapper",""

