"id","property_name","logcat_tags","regex","wrapper_class_name","value_mapping"
"#ID","#属性名称","#Logcat标签","#正则表达式","#包装器类名","#值映射(原始值=映射值;原始值=映射值)"
"1","door_status_front_left","MessageProperty","receive SGW_I_23A/VIUL_LFDoorSwSt.*value=(\d+)","SimplePropertyLogWrapper","0=0;1=1"
"2","door_status_front_right","MessageProperty","receive SGW_I_23A/VIUL_RFDoorSwSt.*value=(\d+)","SimplePropertyLogWrapper","0=0;1=1"
"3","door_status_rear_left","MessageProperty","receive SGW_I_23A/VIUL_LRDoorSwSt.*value=(\d+)","SimplePropertyLogWrapper","0=0;1=1"
"4","door_status_rear_right","MessageProperty","receive SGW_I_23A/VIUL_RRDoorSwSt.*value=(\d+)","SimplePropertyLogWrapper","0=0;1=1"
"5","door_status_backdoor","","","SimplePropertyLogWrapper",""
"6","door_degree_backdoor","","","SimplePropertyLogWrapper",""
"7","window_degree_front_left","","","SimplePropertyLogWrapper",""
"8","window_degree_front_right","","","SimplePropertyLogWrapper",""
"9","window_degree_back_left","","","SimplePropertyLogWrapper",""
"10","window_degree_back_right","","","SimplePropertyLogWrapper",""
"11","gear_position","MegaAssistantService","setGearPositionState.*gear = \[(\d+)\]","SimplePropertyLogWrapper","1=1;2=2;4=0;5=3;7=1"
"12","VCU_2A1_VCUACCRPEDLPOSN","","","SimplePropertyLogWrapper",""
"13","brake_pedal_status","","","SimplePropertyLogWrapper",""
"14","car_speed","MessageProperty","receive DrivingInfo/Speed.*value=(\d+)","SimplePropertyLogWrapper",""
"15","light_status_turn_left","","\"status\":true,\"camera\":2,\"type\":3","BlinkingPropertyLogWrapper",""
"16","light_status_turn_right","","\"status\":true,\"camera\":3,\"type\":3","BlinkingPropertyLogWrapper",""
"17","tire_pressure_front_left","","","SimplePropertyLogWrapper",""
"18","tire_pressure_front_right","","","SimplePropertyLogWrapper",""
"19","tire_pressure_back_left","","","SimplePropertyLogWrapper",""
"20","tire_pressure_back_right","","","SimplePropertyLogWrapper",""
"21","sunshade_degree","","","SimplePropertyLogWrapper",""
"22","sunshade_status","","","SimplePropertyLogWrapper",""
"23","power_status","","","SimplePropertyLogWrapper",""
"24","lock_status","MessageProperty","VIUL_LockPromptSoundReq.*?status=0, value=(\d+),[\s\S]*","SimplePropertyLogWrapper","1=1"
