"id","property_name","logcat_tags","regex","wrapper_class_name","value_mapping"
"#ID","#属性名称","#Logcat标签","#正则表达式","#包装器类名","#值映射(原始值=映射值;原始值=映射值)"
"1","door_status_front_left","xyj","driverDoorStatusCurrent:\s*([\s\S]*)","SimplePropertyLogWrapper","1=0;2=1"
"2","door_status_front_right","xyj","right1DoorStatusCurrent:\s*([\s\S]*)","SimplePropertyLogWrapper","1=0;2=1"
"3","door_status_rear_left","xyj","left2DoorStatusCurrent:\s*([\s\S]*)","SimplePropertyLogWrapper","1=0;2=1"
"4","door_status_rear_right","xyj","right2DoorStatusCurrent:\s*([\s\S]*)","SimplePropertyLogWrapper","1=0;2=1"
"5","door_status_backdoor","OuShangCos1-C1_2023010617","ID_BODY_DOOR_TRUNK_DOOR_ON\s*=\s*([\s\S]*)","SimplePropertyLogWrapper","1=0;2=1"
"6","door_degree_backdoor","EvsApp","BODY_DOOR_TRUNK_DOOR_POS.*value=([\s\S]*)","SimplePropertyLogWrapper",""
"7","window_degree_front_left","xyj","left1carWindowPos:\s*([\s\S]*)","SimplePropertyLogWrapper",""
"8","window_degree_front_right","xyj","right1carWindowPos:\s*([\s\S]*)","SimplePropertyLogWrapper",""
"9","window_degree_back_left","xyj","left2carWindowPos:\s*([\s\S]*)","SimplePropertyLogWrapper",""
"10","window_degree_back_right","xyj","right2carWindowPos:\s*([\s\S]*)","SimplePropertyLogWrapper",""
"11","gear_position","xyj","carGear:\s*([\s\S]*)","SimplePropertyLogWrapper","4=0;2=1;8=3;1=2"
"12","VCU_2A1_VCUACCRPEDLPOSN","VehicleStateMonitorB561","ID_EMS_ACCPEDAL\s*=([\s\S]*)","SimplePropertyLogWrapper",""
"28","VCU_2A1_VCUACCRPEDLPOSN","VehicleStateMonitorB561","ID_EMS_ACC_PEDAL/ID_PCU_ACC_PEDL\s*=(\d+)","SimplePropertyLogWrapper",""
"13","brake_pedal_status","VehicleStateMonitorB561","ID_PARKING_BRAKE_ON\s*=([\s\S]*)","SimplePropertyLogWrapper","true=1;false=0"
"14","car_speed","Mointerservice","ID_PERF_VEHICLE_SPEED.*speed Value\(\)\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"15","light_status_turn_left","VehicleStateMonitorB561","ID_TURNLIGHT_ACTIVE_AVM=(1|0)","SimplePropertyLogWrapper","1=1;0=0"
"16","light_status_turn_right","VehicleStateMonitorB561","ID_TURNLIGHT_ACTIVE_AVM=(2|0)","SimplePropertyLogWrapper","2=1;0=0"
"17","tire_pressure_front_left","Property.service","property:0x2161f048 on change, values=\[([\s\S]*)\]","SimplePropertyLogWrapper",""
"18","tire_pressure_front_right","Property.service","property:0x2161f048 on change, values=\[([\s\S]*)\]","SimplePropertyLogWrapper",""
"19","tire_pressure_back_left","Property.service","property:0x2161f048 on change, values=\[([\s\S]*)\]","SimplePropertyLogWrapper",""
"20","tire_pressure_back_right","Property.service","property:0x2161f048 on change, values=\[([\s\S]*)\]","SimplePropertyLogWrapper",""
"21","sunshade_degree","Mointerservice","ID_BODY_WINDOW_SUNSHADE_POS value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"22","sunshade_status","Mointerservice","ID_BODY_WINDOW_SUNSHADE_POS value\s*=\s*([\s\S]*)","SimplePropertyLogWrapper",""
"23","power_status","VehicleStateMonitorB561","ID_POWER_STATE old=[\s\S]* new=([\s\S]*)","SimplePropertyLogWrapper","4=1;2=0"
"#24","lock_status","Welcome","ID_DOOR_LOCK_FEEDBACK\s+lock\s*,value=(\d+)","SimplePropertyLogWrapper","32=0;40=0"
"#25","lock_status","VehicleStateMonitorB561","ID_POWER_STATE old=[\s\S]* new=([\s\S]*)","SimplePropertyLogWrapper","4=1;2=1"
"26","lock_status","CarCabinPropertyService","Door lock status changed:[\s\S]*\(value:\s*(\d+)\)","SimplePropertyLogWrapper","5=0;6=1"
"27","seatbelt_status_front_left","NotifyService","ID_SAFE_BELT_STATUS: propertyValue=(\d+)","SimplePropertyLogWrapper","0=0;1=1"
"999","test_prop","CarCabinPropertyService","Door lock status changed:[\s\S]*\(value:\s*(\d+)\)","SimplePropertyLogWrapper",""
